date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:13	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:13%20GMT	https://www.SwiftEdgeCapita.com/robots.txt		(from )
23:48:13	49714/49714	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:13%20GMT	https://www.SwiftEdgeCapita.com/	C:/webby/sage1/www.SwiftEdgeCapita.com/index.html	(from )
23:48:13	11169/11169	---M--	200	added ('OK')	image/png	etag:%222ba1-678b24a4-d0752d94c2791107;;;%22	https://www.SwiftEdgeCapita.com/assets/images/favicon.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/favicon.png	(from https://www.SwiftEdgeCapita.com/)
23:48:14	232933/232933	---M-Z	200	added ('OK')	text/css	etag:%2238de5-678b20ea-b85fec2e7415a065;gz%22	https://www.SwiftEdgeCapita.com/assets/css/bootstrap.min.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/bootstrap.min.css	(from https://www.SwiftEdgeCapita.com/)
23:48:14	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-678b20ea-2e4c8813bb2e7c09;gz%22	https://www.SwiftEdgeCapita.com/assets/css/aos.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/aos.css	(from https://www.SwiftEdgeCapita.com/)
23:48:14	7574/7574	---M-Z	200	added ('OK')	text/css	etag:%221d96-678b20ea-f1d4aca9e306fa58;gz%22	https://www.SwiftEdgeCapita.com/assets/css/toastr.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/toastr.css	(from https://www.SwiftEdgeCapita.com/)
23:48:14	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%2218e89-678b20ea-d77864e29103ebb0;gz%22	https://www.SwiftEdgeCapita.com/assets/css/all.min.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/all.min.css	(from https://www.SwiftEdgeCapita.com/)
23:48:14	16493/16493	---M-Z	200	added ('OK')	text/css	etag:%22406d-678b20ea-e3559c8c1702b71f;gz%22	https://www.SwiftEdgeCapita.com/assets/css/swiper-bundle.min.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/swiper-bundle.min.css	(from https://www.SwiftEdgeCapita.com/)
23:48:15	259740/259740	---M-Z	200	added ('OK')	text/css	etag:%223f69c-678b20ea-ee0c1d4e6ca919c8;gz%22	https://www.SwiftEdgeCapita.com/assets/css/style.css	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/css/style.css	(from https://www.SwiftEdgeCapita.com/)
23:48:15	11169/11169	---M--	200	added ('OK')	image/png	etag:%222ba1-678b24b2-a4e807673a32169c;;;%22	https://www.SwiftEdgeCapita.com/assets/images/logo/preloader.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/logo/preloader.png	(from https://www.SwiftEdgeCapita.com/)
23:48:15	520/520	---M-Z	200	added ('OK')	image/svg+xml	etag:%22208-678b20ea-80f4a5a99c4f2507;gz%22	https://www.SwiftEdgeCapita.com/assets/images/icon/moon.svg	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/icon/moon.svg	(from https://www.SwiftEdgeCapita.com/)
23:48:15	8098/8098	---M--	200	added ('OK')	image/png	etag:%221fa2-678b24d0-92f3d3a5b4c45971;;;%22	https://www.SwiftEdgeCapita.com/assets/images/logo/logo.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/logo/logo.png	(from https://www.SwiftEdgeCapita.com/)
23:48:15	19920/19920	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:16%20GMT	https://www.SwiftEdgeCapita.com/about	C:/webby/sage1/www.SwiftEdgeCapita.com/about.html	(from https://www.SwiftEdgeCapita.com/)
23:48:16	15036/15036	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:16%20GMT	https://www.SwiftEdgeCapita.com/buy-crypto	C:/webby/sage1/www.SwiftEdgeCapita.com/buy-crypto.html	(from https://www.SwiftEdgeCapita.com/)
23:48:16	22304/22304	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:17%20GMT	https://www.SwiftEdgeCapita.com/copy-trading	C:/webby/sage1/www.SwiftEdgeCapita.com/copy-trading.html	(from https://www.SwiftEdgeCapita.com/)
23:48:16	14477/14477	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:17%20GMT	https://www.SwiftEdgeCapita.com/markets?market=forex	C:/webby/sage1/www.SwiftEdgeCapita.com/markets6a59.html	(from https://www.SwiftEdgeCapita.com/)
23:48:16	18187/18187	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:17%20GMT	https://www.SwiftEdgeCapita.com/markets?market=index	C:/webby/sage1/www.SwiftEdgeCapita.com/markets944c.html	(from https://www.SwiftEdgeCapita.com/)
23:48:17	14468/14468	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:17%20GMT	https://www.SwiftEdgeCapita.com/markets?market=crypto	C:/webby/sage1/www.SwiftEdgeCapita.com/markets0581.html	(from https://www.SwiftEdgeCapita.com/)
23:48:17	83858/83858	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:18%20GMT	https://www.SwiftEdgeCapita.com/licenses	C:/webby/sage1/www.SwiftEdgeCapita.com/licenses.html	(from https://www.SwiftEdgeCapita.com/)
23:48:17	18572/18572	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:18%20GMT	https://www.SwiftEdgeCapita.com/contact	C:/webby/sage1/www.SwiftEdgeCapita.com/contact.html	(from https://www.SwiftEdgeCapita.com/)
23:48:18	11681/11681	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:18%20GMT	https://www.SwiftEdgeCapita.com/signin	C:/webby/sage1/www.SwiftEdgeCapita.com/signin.html	(from https://www.SwiftEdgeCapita.com/)
23:48:18	38953/38953	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:19%20GMT	https://www.SwiftEdgeCapita.com/signup	C:/webby/sage1/www.SwiftEdgeCapita.com/signup.html	(from https://www.SwiftEdgeCapita.com/)
23:48:19	5274/5274	---M--	200	added ('OK')	image/png	etag:%22149a-678b20ea-20372aa7359ed3a6;;;%22	https://www.SwiftEdgeCapita.com/assets/images/banner/home1/3.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/banner/home1/3.png	(from https://www.SwiftEdgeCapita.com/)
23:48:21	1594/1594	---M--	200	added ('OK')	image/png	etag:%2263a-678b20ea-100bb53889ebcbba;;;%22	https://www.SwiftEdgeCapita.com/assets/images/banner/home1/4.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/banner/home1/4.png	(from https://www.SwiftEdgeCapita.com/)
23:48:21	74601/74601	---M--	200	added ('OK')	image/png	etag:%2212369-678b20ea-dae59eae39501e20;;;%22	https://www.SwiftEdgeCapita.com/assets/images/banner/home1/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/banner/home1/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:21	736117/736117	---M--	200	added ('OK')	image/png	etag:%22b3b75-678b20ea-16b22cb79589bf4c;;;%22	https://www.SwiftEdgeCapita.com/assets/images/banner/home1/bg.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/banner/home1/bg.png	(from https://www.SwiftEdgeCapita.com/)
23:48:23	2041/2041	---M--	200	added ('OK')	image/png	etag:%227f9-678b20ea-1a4f32eb85cce96f;;;%22	https://www.SwiftEdgeCapita.com/assets/images/partner/light/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/partner/light/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:23	3115/3115	---M--	200	added ('OK')	image/png	etag:%22c2b-678b20ea-2ce0945d7f8142a1;;;%22	https://www.SwiftEdgeCapita.com/assets/images/partner/light/2.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/partner/light/2.png	(from https://www.SwiftEdgeCapita.com/)
23:48:23	1905/1905	---M--	200	added ('OK')	image/png	etag:%22771-678b20ea-7e25c1ecaa832ae;;;%22	https://www.SwiftEdgeCapita.com/assets/images/partner/light/3.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/partner/light/3.png	(from https://www.SwiftEdgeCapita.com/)
23:48:23	2061/2061	---M--	200	added ('OK')	image/png	etag:%2280d-678b20ea-d121521959f63e25;;;%22	https://www.SwiftEdgeCapita.com/assets/images/partner/light/4.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/partner/light/4.png	(from https://www.SwiftEdgeCapita.com/)
23:48:24	2280/2280	---M--	200	added ('OK')	image/png	etag:%228e8-678b20ea-111e613254e6b9ce;;;%22	https://www.SwiftEdgeCapita.com/assets/images/partner/light/5.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/partner/light/5.png	(from https://www.SwiftEdgeCapita.com/)
23:48:24	35820/35820	---M--	200	added ('OK')	image/png	etag:%228bec-678b20ea-a2cc924b1db5c064;;;%22	https://www.SwiftEdgeCapita.com/assets/images/about/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/about/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:24	1538/1538	---M--	200	added ('OK')	image/png	etag:%22602-678b20ea-34703f1f709323f0;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:24	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:25%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:25	850/850	---M--	200	added ('OK')	image/png	etag:%22352-678b20ea-9671a3fe372e7639;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/2.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/2.png	(from https://www.SwiftEdgeCapita.com/)
23:48:25	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:26%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:25	1790/1790	---M--	200	added ('OK')	image/png	etag:%226fe-678b20ea-a705435e7f01d2bd;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/3.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/3.png	(from https://www.SwiftEdgeCapita.com/)
23:48:25	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:26%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:26	1804/1804	---M--	200	added ('OK')	image/png	etag:%2270c-678b20ea-6ec2685eb3254761;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/4.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/4.png	(from https://www.SwiftEdgeCapita.com/)
23:48:26	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:27%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:26	1195/1195	---M--	200	added ('OK')	image/png	etag:%224ab-678b20ea-a0aa86ea78030579;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/5.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/5.png	(from https://www.SwiftEdgeCapita.com/)
23:48:26	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:27%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:27	2548/2548	---M--	200	added ('OK')	image/png	etag:%229f4-678b20ea-45ea2b97de80bf23;;;%22	https://www.SwiftEdgeCapita.com/assets/images/service/6.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/service/6.png	(from https://www.SwiftEdgeCapita.com/)
